GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: piTrainingData
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 5
TotalNumTrainingExamples: 60
NumberOfClasses: 3
ClassIDsAndCounters: 
1	20
2	20
3	20
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 43
TimeSeriesData: 
-0.875	-4.875	2.51	2.35	8.78
-2.625	-4.4375	2.26	3.85	5.13
-3.1875	-2.1875	-0.57	3.45	3.73
-1.3125	-1.0625	1.83	2.44	1.1
-0.625	-0.8125	-0.06	1.1	-0.73
0.375	-2.875	1.29	2.1	1.69
-0.3125	-2.9375	1.33	0.31	0.61
-0.375	-2.875	-0.7	-0.01	0.83
-0.25	-2.3125	-0.37	-0.58	0.28
-0.0625	-2.5625	2.02	0.06	0.11
-0.125	-2.6875	-0.04	0.03	-0.65
0.125	-2.6875	-0.52	0.09	0.45
0.1875	-2.0625	1.51	-0.17	0.37
0.375	-1.75	-0.41	-0.22	-0.04
0.5625	-1.875	1.65	0.24	0.52
0.5	-1.8125	1.5	0	-0.04
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 42
TimeSeriesData: 
2.5625	0.625	-0.15	-0.09	0.32
2.5625	0.625	1.37	0.07	0.2
2.625	0.6875	-0.01	-0.04	0.31
2.6875	0.6875	1.29	0	0.14
2.75	0.6875	1.28	0	0.17
2.75	0.6875	1.35	0.01	0.08
2.6875	0.6875	1.36	-0.02	0.28
2.625	0.6875	-0.11	-0.07	0.09
2.625	0.6875	-0.16	-0.8	-0.57
2.375	0.625	-0.36	-4.44	-0.2
1.6875	0.375	-1.16	-5.73	1.05
1.9375	-1.1875	-0.29	-4.23	4.57
3.4375	-3.4375	1.58	-1.28	6.62
3.9375	-6.0625	1.35	4.12	10.62
4.3125	-8.0625	-0.87	9.35	3.15
6.8125	-9.8125	2.54	10.36	-0.99
8.875	-8.125	-1.12	6	-4.94
12.75	-6.5625	-0.33	5.39	-4.46
15.1875	-5.75	-0.11	2	-6.88
16.125	-2.875	-3.03	-3.43	-8.64
16.8125	-0.8125	-0.87	-2.69	-7.23
16.0625	0.75	-2.97	-3.98	-4.9
14.5	2.625	-0.91	-5.02	-5.68
11.75	3	-0.89	-4.64	-2.58
8.3125	2.125	-1.01	-4.38	-0.88
3.8125	0.5625	-0.29	-3.03	2.43
1.1875	-1.3125	-0.07	-1.85	5.6
-0.6875	-1.375	-1.02	-1.98	2.92
-0.3125	-1.875	-0.4	2.17	5.75
0.5625	-1.3125	2.15	1.88	3.59
0.8125	0.375	-0.02	1.37	1.26
2.0625	0.6875	1.75	1.49	0.09
1.75	1.25	-0.18	-326.69	0.22
2	1.375	-0.79	0	-0.64
2.375	0.5625	1.33	0.65	0.55
2.375	-0.125	1.93	0.33	-0.25
2.25	-0.5	1.86	0.57	0.01
2.0625	-0.6875	-0.33	0.23	0.44
1.9375	-1	-0.35	-0.19	0.6
2	-1.25	-0.39	-0.06	0.34
2.1875	-1.3125	1.56	0.13	0.18
2.0625	-1.1875	-0.12	0.33	0.22
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 41
TimeSeriesData: 
3.3125	-0.0625	1.41	0.13	0.26
3.25	-0.0625	0.01	-0.05	0.24
3.25	-0.0625	-0.02	-0.06	0.28
3.25	-0.0625	-0.04	-0.02	0.32
3.25	-0.0625	1.28	-0.02	0.23
3.1875	-0.0625	-0.08	-0.09	0.09
3.25	-0.0625	1.32	0.13	0.16
3.1875	0	-0.06	-0.44	-0.28
3.1875	-0.125	1.79	-2.46	-0.36
2.3125	-0.0625	-0.12	-6.21	0.74
1.625	-0.5	-1.06	-5.74	1.58
3.0625	-4.0625	1.88	-1.85	5.26
2.9375	-6.625	1.38	2.55	7.57
2.5	-8.1875	-0.45	5.87	6.35
4.75	-8.875	1.58	8.69	2.06
6.6875	-8.375	-0.84	9.13	-1.17
8.8125	-7.375	1.88	6.37	-2.99
11.125	-6.1875	-3.1	2.62	-4.99
13.6875	-5.3125	-1.1	2.66	-6.23
16.625	-4.125	-0.73	-0.82	-8.62
16.8125	-1.875	-2.86	-2.72	-8.73
15.5625	1.125	-1.05	-4.95	-7.64
12.6875	2.875	-0.91	-6.04	-3.98
8.875	3.125	-0.79	-6.36	-0.93
5	1.0625	-0.01	-3.95	4.87
1.0625	0.25	-0.3	-4.82	3.53
-0.5625	-1.5	2.47	-1.83	5.62
-3.0625	-0.25	-2.62	-0.5	5.35
-2.4375	0	-0.04	-325.74	3.62
-1.0625	0.5	1.97	2.56	0.87
1.3125	0	1.63	3.06	0.97
